,Date,Time,Datetime,Team,Park,Address,Latitude,Longitude,Region,Dome Flag,Last Game of Homestead Flag,Double Header Flag
707,2022-05-29,11:35 am,2022-05-29 11:35:00,Cincinnati Reds,Great American Ball Park,"100 Cinergy Field, Cincinnati, OH 45202",39.107183,-84.507713,Midwest,0,1,0
708,2022-05-29,1:35 pm,2022-05-29 13:35:00,Boston Red Sox,Fenway Park,"4 Yawkey Way, Boston, MA 02215",42.346613,-71.098817,Northeast,0,0,0
709,2022-05-29,1:35 pm,2022-05-29 13:35:00,Washington Nationals,Nationals Park,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01,Northeast,0,1,0
710,2022-05-29,1:35 pm,2022-05-29 13:35:00,Atlanta Braves,SunTrust Park,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391239,Southeast,0,1,0
711,2022-05-29,1:40 pm,2022-05-29 13:40:00,Detroit Tigers,Comerica Park,"2100 Woodward Ave., Detroit, MI 48201",42.346354,-83.059619,Midwest,0,0,0
712,2022-05-29,1:40 pm,2022-05-29 13:40:00,Tampa Bay Rays,Tropicana Field,"1 Tropicana Drive, St. Petersburg, FL 33705",27.768487,-82.648191,Southeast,1,1,0
713,2022-05-29,2:10 pm,2022-05-29 14:10:00,Chicago White Sox,Guaranteed Rate Field,"333 W. 35th Street, Chicago, IL 60616",41.830883,-87.635083,Midwest,0,1,0
714,2022-05-29,2:10 pm,2022-05-29 14:10:00,Minnesota Twins,Target Field,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.259616,Midwest,0,1,0
715,2022-05-29,2:15 pm,2022-05-29 14:15:00,St. Louis Cardinals,Busch Stadium,"250 Stadium Plaza, St. Louis, MO 63102",38.629683,-90.188247,Midwest,0,0,0
716,2022-05-29,4:07 pm,2022-05-29 16:07:00,Los Angeles Angels,Angel Stadium of Anaheim,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.889031,Pacific,0,1,0
717,2022-05-29,4:07 pm,2022-05-29 16:07:00,Oakland Athletics,Oakland Coliseum,"700 Coliseum Way, Oakland, Ca 94621-1918",37.74923,-122.196487,Pacific,0,0,0
718,2022-05-29,4:10 pm,2022-05-29 16:10:00,Arizona D'Backs,Chase Field,"P.O. Box 2095, Phoenix, AZ. 85001",33.452922,-112.038669,Pacific,0,0,0
719,2022-05-29,4:10 pm,2022-05-29 16:10:00,San Diego Padres,Petco Park,"P.O. Box 2000, San Diego, CA 92112-2000",32.752148,-117.143635,Pacific,0,1,0
